chromosome	end	length	major_is_allele_a	major_readcount	minor_readcount	readcount	start	allele_ratio	major_depth	minor_depth	total_depth	major_0	minor_0	major_1	minor_1	major_2	minor_2	major_raw	minor_raw	major_depth_e	minor_depth_e	total_depth_e	major_e	minor_e	total_e	major_raw_e	minor_raw_e	major_diff	minor_diff	prob_is_outlier_total	prob_is_outlier_allele	total_likelihood_mask	allele_likelihood_mask
20	500000	446984.78068	1	7172	2817	30440	60000	0.282010211232	0.0488956450303	0.0192051076479	0.0681007526782	1	1	1	0	2	1	1.88509327708	0.607599987097	0.045712044121	0.0224707968947	0.0681828410158	20432.5880159	10044.1042217	30476.6922376	1.74811263752	0.748112637519	1	1	0.000468297291918	0.00585756241488	1	1
20	1000000	515838.516627	1	8684	3625	34991	500000	0.294499959379	0.0478563564481	0.0199768876237	0.0678332440718	1	1	1	0	2	1	1.84037585843	0.640807326116	0.045712044121	0.0224707968947	0.0681828410158	23580.0330314	11591.3025376	35171.335569	1.74811263752	0.748112637519	1	1	0.000468118894075	0.0055890978988	1	1
20	1500000	512556.524628	1	8179	2641	34987	1000000	0.244085027726	0.0515985961824	0.0166611923851	0.0682597885675	1	1	1	0	2	1	2.00139302321	0.49814307035	0.045712044121	0.0224707968947	0.0681828410158	23430.0064683	11517.553562	34947.5600303	1.74811263752	0.748112637519	1	1	0.000471900200267	0.00748977516848	1	1
20	2000000	504295.772448	1	5476	1905	34693	1500000	0.258095109064	0.0510393062712	0.017755638869	0.0687949451402	1	1	1	0	2	1	1.97732848374	0.545233765322	0.045712044121	0.0224707968947	0.0681828410158	23052.3906002	11331.9278776	34384.3184778	1.74811263752	0.748112637519	1	1	0.000529043234508	0.00670985620757	1	1
20	2500000	512980.767212	1	6883	2057	34918	2000000	0.230089485459	0.0524069069741	0.0156619217849	0.068068828759	1	1	1	0	2	1	2.03617217184	0.45514750344	0.045712044121	0.0224707968947	0.0681828410158	23449.399464	11527.0866309	34976.486095	1.74811263752	0.748112637519	1	1	0.000465940179	0.00856876444225	1	1
20	3000000	511617.029442	1	6741	2170	34878	2500000	0.243519245876	0.051570870835	0.0166012149105	0.0681720857455	1	1	1	0	2	1	2.00020008605	0.495562422505	0.045712044121	0.0224707968947	0.0681828410158	23387.0602229	11496.4423565	34883.5025794	1.74811263752	0.748112637519	1	1	0.000468319512268	0.00752675433053	1	1
20	3500000	506642.645878	1	7147	3571	34708	3000000	0.333177831685	0.0456812390472	0.0228246403579	0.0685058794051	1	1	1	0	2	1	1.74678718913	0.763337442784	0.045712044121	0.0224707968947	0.0681828410158	23159.670982	11384.6639937	34544.3349757	1.74811263752	0.748112637519	1	1	0.000490372188883	0.00532705042623	1	1
20	4000000	515757.755729	1	8147	3013	35014	3500000	0.269982078853	0.0495597927653	0.0183286676816	0.0678884604469	1	1	1	0	2	1	1.91366952897	0.569889447825	0.045712044121	0.0224707968947	0.0681828410158	23576.3412857	11589.4877759	35165.8290615	1.74811263752	0.748112637519	1	1	0.000466641725415	0.00622203011993	1	1
20	4500000	501463.150909	1	9902	3037	34915	4000000	0.234716747817	0.0532838050045	0.016342447566	0.0696262525705	1	1	1	0	2	1	2.07390242022	0.484428452714	0.045712044121	0.0224707968947	0.0681828410158	22922.9056794	11268.2766143	34191.1822937	1.74811263752	0.748112637519	1	1	0.000791234793195	0.00817352297678	1	1
20	5000000	516756.727307	1	8930	2158	34808	4500000	0.194624819625	0.0542489295197	0.0131096517249	0.0673585812446	1	1	1	0	2	1	2.11542878521	0.345331105243	0.045712044121	0.0224707968947	0.0681828410158	23622.0063185	11611.9354633	35233.9417818	1.74811263752	0.748112637519	1	1	0.000506569927147	0.0136925696375	1	1
